"","No","ExpNo","ExtractionType","FileNumber","PhotoCode","NA.","ExpCode","Host","HostVariety","Treatment","Condition","Dilution","isolateRepNumber","techRep","ExpCode.1","ExposureTreatment","sampleNumber","chl","ES8_digital_WBonly_T_tuk"
"58",58,"ES8","Digital",463,"DSC_0550.ES8_58.sample1.WB_only.clean.jpg.chl.csv","DSC_0550","ES8_58","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep1_IsolateRep4","WB_only","sample1",203.003,6.42134286633564
"59",59,"ES8","Digital",298,"DSC_0434.ES8_59.sample1.WB_only.clean.jpg.chl.csv","DSC_0434","ES8_59","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep2_IsolateRep4","WB_only","sample1",58.127,4.14507380894757
"60",60,"ES8","Digital",253,"DSC_0404.ES8_60.sample1.WB_only.clean.jpg.chl.csv","DSC_0404","ES8_60","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep3_IsolateRep4","WB_only","sample1",19.096,2.80756514467279
"61",61,"ES8","Digital",241,"DSC_0396.ES8_61.sample1.WB_only.clean.jpg.chl.csv","DSC_0396","ES8_61","soybean","AG4632","DMCC2127","Shaking","25fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2127_Shaking_25fold_stemRep1_IsolateRep1","WB_only","sample1",157.448,5.87486649641404
"62",62,"ES8","Digital",NA,NA,NA,"ES8_62","soybean","AG4632","DMCC2127","Shaking","25fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2127_Shaking_25fold_stemRep2_IsolateRep1",NA,"sample1",NA,NA
"63",63,"ES8","Digital",163,"DSC_0110.ES8_63.sample1.WB_only.clean.jpg.chl.csv","DSC_0110","ES8_63","soybean","AG4632","DMCC2127","Shaking","25fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2127_Shaking_25fold_stemRep3_IsolateRep1","WB_only","sample1",31.008,3.32671666964571
"64",64,"ES8","Digital",535,"DSC_0601.ES8_64.sample1.WB_only.clean.jpg.chl.csv","DSC_0601","ES8_64","soybean","AG4632","DMCC2127","Shaking","25fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2127_Shaking_25fold_stemRep1_IsolateRep2","WB_only","sample1",24.953,3.08313803055227
"65",65,"ES8","Digital",NA,NA,NA,"ES8_65","soybean","AG4632","DMCC2127","Shaking","25fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2127_Shaking_25fold_stemRep2_IsolateRep2",NA,"sample1",NA,NA
"66",66,"ES8","Digital",376,"DSC_0491.ES8_66.sample1.WB_only.clean.jpg.chl.csv","DSC_0491","ES8_66","soybean","AG4632","DMCC2127","Shaking","25fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2127_Shaking_25fold_stemRep3_IsolateRep2","WB_only","sample1",39.194,3.61099474077942
"67",67,"ES8","Digital",481,"DSC_0562.ES8_67.sample1.WB_only.clean.jpg.chl.csv","DSC_0562","ES8_67","soybean","AG4632","DMCC2127","Shaking","25fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2127_Shaking_25fold_stemRep1_IsolateRep3","WB_only","sample1",49.305,3.91301792274018
"68",68,"ES8","Digital",418,"DSC_0520.ES8_68.sample1.WB_only.clean.jpg.chl.csv","DSC_0520","ES8_68","soybean","AG4632","DMCC2127","Shaking","25fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2127_Shaking_25fold_stemRep2_IsolateRep3","WB_only","sample1",117.653,5.30531349713866
"69",69,"ES8","Digital",367,"DSC_0484.ES8_69.sample1.WB_only.clean.jpg.chl.csv","DSC_0484","ES8_69","soybean","AG4632","DMCC2127","Shaking","25fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2127_Shaking_25fold_stemRep3_IsolateRep3","WB_only","sample1",34.432,3.45093506477589
"70",70,"ES8","Digital",328,"DSC_0456.ES8_70.sample1.WB_only.clean.jpg.chl.csv","DSC_0456","ES8_70","soybean","AG4632","DMCC2127","Shaking","25fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2127_Shaking_25fold_stemRep1_IsolateRep4","WB_only","sample1",29.751,3.27888019684994
"71",71,"ES8","Digital",514,"DSC_0587.ES8_71.sample1.WB_only.clean.jpg.chl.csv","DSC_0587","ES8_71","soybean","AG4632","DMCC2127","Shaking","25fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2127_Shaking_25fold_stemRep2_IsolateRep4","WB_only","sample1",109.066,5.1664387493256
"72",72,"ES8","Digital",349,"DSC_0472.ES8_72.sample1.WB_only.clean.jpg.chl.csv","DSC_0472","ES8_72","soybean","AG4632","DMCC2127","Shaking","25fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2127_Shaking_25fold_stemRep3_IsolateRep4","WB_only","sample1",21.344,2.91908360875601
"73",73,"ES8","Digital",433,"DSC_0530.ES8_73.sample1.WB_only.clean.jpg.chl.csv","DSC_0530","ES8_73","soybean","AG4632","DMCC2165","Shaking","100fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2165_Shaking_100fold_stemRep1_IsolateRep1","WB_only","sample1",17.031,2.6973298102473
"74",74,"ES8","Digital",208,"DSC_0374.ES8_74.sample1.WB_only.clean.jpg.chl.csv","DSC_0374","ES8_74","soybean","AG4632","DMCC2165","Shaking","100fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2165_Shaking_100fold_stemRep2_IsolateRep1","WB_only","sample1",39.786,3.62999141066211
"75",75,"ES8","Digital",31,"DSC_0022.ES8_75.sample1.WB_only.clean.jpg.chl.csv","DSC_0022","ES8_75","soybean","AG4632","DMCC2165","Shaking","100fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2165_Shaking_100fold_stemRep3_IsolateRep1","WB_only","sample1",24.514,3.06404376079956
