No,FileCode,PhotoCode,ExpCode,sampleNumber,ExpNo,Treatment,HostVariety,Dilution,isoRepNumber,techRepNumber,TreatmentCode,FinalpH,X1,Row,Column,chl
60,DSC_0593.ES13A_60.sample1.clean.jpg.chl.csv,DSC_0593,ES13A_60,sample1,ES13A,DMCC2165,Osage,100fold,isoRep2,techRep3,ES13A_DMCC2165_Osage_100fold_isoRep2_techRep3,7.75,1,1,1,71.279
61,DSC_0622.ES13A_61.sample1.clean.jpg.chl.csv,DSC_0622,ES13A_61,sample1,ES13A,DMCC2165,Osage,100fold,isoRep3,techRep1,ES13A_DMCC2165_Osage_100fold_isoRep3_techRep1,7.75,1,1,1,59.111
62,DSC_0655.ES13A_62.sample1.clean.jpg.chl.csv,DSC_0655,ES13A_62,sample1,ES13A,DMCC2165,Osage,100fold,isoRep3,techRep2,ES13A_DMCC2165_Osage_100fold_isoRep3_techRep2,7.71,1,1,1,45.558
63,DSC_0577.ES13A_63.sample1.clean.jpg.chl.csv,DSC_0577,ES13A_63,sample1,ES13A,DMCC2165,Osage,100fold,isoRep3,techRep3,ES13A_DMCC2165_Osage_100fold_isoRep3_techRep3,7.84,1,1,1,207.004
64,DSC_0672.ES13A_64.sample1.clean.jpg.chl.csv,DSC_0672,ES13A_64,sample1,ES13A,DMCC2165,P5414LLS,100fold,isoRep1,techRep1,ES13A_DMCC2165_P5414LLS_100fold_isoRep1_techRep1,7.7,1,1,1,138.203
65,DSC_0571.ES13A_65.sample1.clean.jpg.chl.csv,DSC_0571,ES13A_65,sample1,ES13A,DMCC2165,P5414LLS,100fold,isoRep1,techRep2,ES13A_DMCC2165_P5414LLS_100fold_isoRep1_techRep2,7.71,1,1,1,214.301
66,DSC_0642.ES13A_66.sample1.clean.jpg.chl.csv,DSC_0642,ES13A_66,sample1,ES13A,DMCC2165,P5414LLS,100fold,isoRep1,techRep3,ES13A_DMCC2165_P5414LLS_100fold_isoRep1_techRep3,7.71,1,1,1,126.905
67,DSC_0539.ES13A_67.sample1.clean.jpg.chl.csv,DSC_0539,ES13A_67,sample1,ES13A,DMCC2165,P5414LLS,100fold,isoRep2,techRep1,ES13A_DMCC2165_P5414LLS_100fold_isoRep2_techRep1,7.81,1,1,1,0
68,DSC_0563.ES13A_68.sample1.clean.jpg.chl.csv,DSC_0563,ES13A_68,sample1,ES13A,DMCC2165,P5414LLS,100fold,isoRep2,techRep2,ES13A_DMCC2165_P5414LLS_100fold_isoRep2_techRep2,7.72,1,1,1,164.477
69,DSC_0626.ES13A_69.sample1.clean.jpg.chl.csv,DSC_0626,ES13A_69,sample1,ES13A,DMCC2165,P5414LLS,100fold,isoRep2,techRep3,ES13A_DMCC2165_P5414LLS_100fold_isoRep2_techRep3,7.65,1,1,1,0
70,DSC_0620.ES13A_70.sample1.clean.jpg.chl.csv,DSC_0620,ES13A_70,sample1,ES13A,DMCC2165,P5414LLS,100fold,isoRep3,techRep1,ES13A_DMCC2165_P5414LLS_100fold_isoRep3_techRep1,7.73,1,1,1,0
71,DSC_0530.ES13A_71.sample1.clean.jpg.chl.csv,DSC_0530,ES13A_71,sample1,ES13A,DMCC2165,P5414LLS,100fold,isoRep3,techRep2,ES13A_DMCC2165_P5414LLS_100fold_isoRep3_techRep2,7.74,1,1,1,0
72,DSC_0632.ES13A_72.sample1.clean.jpg.chl.csv,DSC_0632,ES13A_72,sample1,ES13A,DMCC2165,P5414LLS,100fold,isoRep3,techRep3,ES13A_DMCC2165_P5414LLS_100fold_isoRep3_techRep3,7.54,1,1,1,169.973
73,,,ES13A_73,sample1,ES13A,DMCC2165,DG47E80,100fold,isoRep1,techRep1,ES13A_DMCC2165_DG47E80_100fold_isoRep1_techRep1,7.55,,,,NA
74,DSC_0639.ES13A_74.sample1.clean.jpg.chl.csv,DSC_0639,ES13A_74,sample1,ES13A,DMCC2165,DG47E80,100fold,isoRep1,techRep2,ES13A_DMCC2165_DG47E80_100fold_isoRep1_techRep2,7.76,1,1,1,66.182
75,DSC_0628.ES13A_75.sample1.clean.jpg.chl.csv,DSC_0628,ES13A_75,sample1,ES13A,DMCC2165,DG47E80,100fold,isoRep1,techRep3,ES13A_DMCC2165_DG47E80_100fold_isoRep1_techRep3,7.72,1,1,1,217.265
76,DSC_0610.ES13A_76.sample1.clean.jpg.chl.csv,DSC_0610,ES13A_76,sample1,ES13A,DMCC2165,DG47E80,100fold,isoRep2,techRep1,ES13A_DMCC2165_DG47E80_100fold_isoRep2_techRep1,7.57,1,1,1,232.945
77,DSC_0587.ES13A_77.sample1.clean.jpg.chl.csv,DSC_0587,ES13A_77,sample1,ES13A,DMCC2165,DG47E80,100fold,isoRep2,techRep2,ES13A_DMCC2165_DG47E80_100fold_isoRep2_techRep2,7.65,1,1,1,154.771
78,DSC_0526.ES13A_78.sample1.clean.jpg.chl.csv,DSC_0526,ES13A_78,sample1,ES13A,DMCC2165,DG47E80,100fold,isoRep2,techRep3,ES13A_DMCC2165_DG47E80_100fold_isoRep2_techRep3,7.73,1,1,1,240.946
79,DSC_0557.ES13A_79.sample1.clean.jpg.chl.csv,DSC_0557,ES13A_79,sample1,ES13A,DMCC2165,DG47E80,100fold,isoRep3,techRep1,ES13A_DMCC2165_DG47E80_100fold_isoRep3_techRep1,7.74,1,1,1,211.659
80,DSC_0561.ES13A_80.sample1.clean.jpg.chl.csv,DSC_0561,ES13A_80,sample1,ES13A,DMCC2165,DG47E80,100fold,isoRep3,techRep2,ES13A_DMCC2165_DG47E80_100fold_isoRep3_techRep2,7.54,1,1,1,217.717
81,DSC_0507.ES13A_81.sample1.clean.jpg.chl.csv,DSC_0507,ES13A_81,sample1,ES13A,DMCC2165,DG47E80,100fold,isoRep3,techRep3,ES13A_DMCC2165_DG47E80_100fold_isoRep3_techRep3,7.55,1,1,1,126.721
82,DSC_0663.ES13A_82.sample1.clean.jpg.chl.csv,DSC_0663,ES13A_82,sample1,ES13A,DMCC2165,DG47X95,100fold,isoRep1,techRep1,ES13A_DMCC2165_DG47X95_100fold_isoRep1_techRep1,7.76,1,1,1,195.706
83,DSC_0545.ES13A_83.sample1.clean.jpg.chl.csv,DSC_0545,ES13A_83,sample1,ES13A,DMCC2165,DG47X95,100fold,isoRep1,techRep2,ES13A_DMCC2165_DG47X95_100fold_isoRep1_techRep2,7.72,1,1,1,231.569
84,DSC_0624.ES13A_84.sample1.clean.jpg.chl.csv,DSC_0624,ES13A_84,sample1,ES13A,DMCC2165,DG47X95,100fold,isoRep1,techRep3,ES13A_DMCC2165_DG47X95_100fold_isoRep1_techRep3,7.57,1,1,1,157.737
85,DSC_0543.ES13A_85.sample1.clean.jpg.chl.csv,DSC_0543,ES13A_85,sample1,ES13A,DMCC2165,DG47X95,100fold,isoRep2,techRep1,ES13A_DMCC2165_DG47X95_100fold_isoRep2_techRep1,7.76,1,1,1,206.683
86,DSC_0579.ES13A_86.sample1.clean.jpg.chl.csv,DSC_0579,ES13A_86,sample1,ES13A,DMCC2165,DG47X95,100fold,isoRep2,techRep2,ES13A_DMCC2165_DG47X95_100fold_isoRep2_techRep2,7.76,1,1,1,139.457
87,DSC_0607.ES13A_87.sample1.clean.jpg.chl.csv,DSC_0607,ES13A_87,sample1,ES13A,DMCC2165,DG47X95,100fold,isoRep2,techRep3,ES13A_DMCC2165_DG47X95_100fold_isoRep2_techRep3,7.65,1,1,1,0
88,DSC_0547.ES13A_88.sample1.clean.jpg.chl.csv,DSC_0547,ES13A_88,sample1,ES13A,DMCC2165,DG47X95,100fold,isoRep3,techRep1,ES13A_DMCC2165_DG47X95_100fold_isoRep3_techRep1,7.79,1,1,1,277.557
89,DSC_0559.ES13A_89.sample1.clean.jpg.chl.csv,DSC_0559,ES13A_89,sample1,ES13A,DMCC2165,DG47X95,100fold,isoRep3,techRep2,ES13A_DMCC2165_DG47X95_100fold_isoRep3_techRep2,7.81,1,1,1,131.686
90,DSC_0551.ES13A_90.sample1.clean.jpg.chl.csv,DSC_0551,ES13A_90,sample1,ES13A,DMCC2165,DG47X95,100fold,isoRep3,techRep3,ES13A_DMCC2165_DG47X95_100fold_isoRep3_techRep3,7.78,1,1,1,40.574
91,DSC_0667.ES13A_01.sample2.clean.jpg.chl.csv,DSC_0667,ES13A_01,sample2,ES13A,Control,AG4632,100fold,isoRep1,techRep1,ES13A_Control_AG4632_100fold_isoRep1_techRep1,7.53,1,1,1,224.734
